sumber,minat,bakat,nilai_akademik,kepribadian,label_karir
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Conventional,Verbal,85.21,Compliance,Estimator Biaya Bangunan
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Artistic,Motorik/Praktikal,78.28,Dominance,Desainer Mebel (Furniture Designer)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Realistic,Spasial/Visual,79.14,Steadiness,Pengrajin Kayu Kreatif
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Artistic,Numerik/Logika,74.77,Dominance,Wirausahawan (Entrepreneur)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Conventional,Verbal,90.57,Steadiness,Staf Administrasi & Keuangan
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Enterprising,Numerik/Logika,90.96,Steadiness,Guru / Pendidik Sekolah
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Investigative,Verbal,94.83,Compliance,Analis Data (Data Analyst)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Artistic,Spasial/Visual,85.47,Influence,Kreator Konten (Content Creator)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Conventional,Motorik/Praktikal,76.11,Compliance,Teknisi Otomotif / Mekanik
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Conventional,Spasial/Visual,82.88,Compliance,Teknisi Jaringan & IT Support
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Investigative,Verbal,81.67,Steadiness,Administrator Sistem (Sysadmin)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Realistic,Spasial/Visual,75.06,Dominance,Drafter (Juru Gambar Bangunan)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Investigative,Numerik/Logika,94.19,Compliance,Estimator Biaya Bangunan
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Realistic,Spasial/Visual,79.98,Influence,Desainer Mebel (Furniture Designer)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Realistic,Motorik/Praktikal,76.31,Compliance,Pengrajin Kayu Kreatif
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Enterprising,Numerik/Logika,74.31,Influence,Wirausahawan (Entrepreneur)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Conventional,Numerik/Logika,88.25,Compliance,Staf Administrasi & Keuangan
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Social,Verbal,85.90,Steadiness,Guru / Pendidik Sekolah
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Investigative,Verbal,97.54,Steadiness,Analis Data (Data Analyst)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Artistic,Verbal,88.92,Dominance,Kreator Konten (Content Creator)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Conventional,Spasial/Visual,71.94,Compliance,Teknisi Otomotif / Mekanik
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Realistic,Motorik/Praktikal,72.34,Dominance,Teknisi Jaringan & IT Support
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Investigative,Numerik/Logika,81.06,Compliance,Administrator Sistem (Sysadmin)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Artistic,Spasial/Visual,90.39,Influence,Drafter (Juru Gambar Bangunan)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Investigative,Numerik/Logika,85.90,Compliance,Estimator Biaya Bangunan
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Realistic,Spasial/Visual,85.57,Influence,Desainer Mebel (Furniture Designer)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Artistic,Motorik/Praktikal,81.73,Compliance,Pengrajin Kayu Kreatif
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Enterprising,Verbal,81.86,Dominance,Wirausahawan (Entrepreneur)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Social,Verbal,84.54,Steadiness,Staf Administrasi & Keuangan
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Social,Verbal,82.04,Steadiness,Guru / Pendidik Sekolah
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Conventional,Numerik/Logika,87.49,Compliance,Analis Data (Data Analyst)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Enterprising,Spasial/Visual,75.12,Dominance,Kreator Konten (Content Creator)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Conventional,Motorik/Praktikal,77.09,Dominance,Teknisi Otomotif / Mekanik
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Realistic,Motorik/Praktikal,87.50,Compliance,Teknisi Jaringan & IT Support
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Investigative,Numerik/Logika,87.28,Steadiness,Administrator Sistem (Sysadmin)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Artistic,Motorik/Praktikal,77.80,Influence,Drafter (Juru Gambar Bangunan)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Conventional,Verbal,94.97,Steadiness,Estimator Biaya Bangunan
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Realistic,Motorik/Praktikal,85.15,Dominance,Desainer Mebel (Furniture Designer)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Artistic,Motorik/Praktikal,73.04,Steadiness,Pengrajin Kayu Kreatif
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Enterprising,Verbal,71.03,Influence,Wirausahawan (Entrepreneur)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Social,Numerik/Logika,91.45,Compliance,Staf Administrasi & Keuangan
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Social,Verbal,84.93,Steadiness,Guru / Pendidik Sekolah
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Investigative,Verbal,97.24,Compliance,Analis Data (Data Analyst)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Artistic,Spasial/Visual,79.13,Influence,Kreator Konten (Content Creator)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Conventional,Spasial/Visual,80.72,Dominance,Teknisi Otomotif / Mekanik
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Conventional,Motorik/Praktikal,78.33,Dominance,Teknisi Jaringan & IT Support
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Conventional,Verbal,93.94,Steadiness,Administrator Sistem (Sysadmin)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Artistic,Spasial/Visual,85.56,Dominance,Drafter (Juru Gambar Bangunan)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Conventional,Numerik/Logika,89.08,Compliance,Estimator Biaya Bangunan
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Artistic,Motorik/Praktikal,88.07,Influence,Desainer Mebel (Furniture Designer)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Artistic,Spasial/Visual,75.45,Steadiness,Pengrajin Kayu Kreatif
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Artistic,Verbal,86.77,Influence,Wirausahawan (Entrepreneur)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Conventional,Numerik/Logika,79.62,Steadiness,Staf Administrasi & Keuangan
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Social,Verbal,80.23,Influence,Guru / Pendidik Sekolah
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Investigative,Verbal,93.94,Compliance,Analis Data (Data Analyst)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Enterprising,Verbal,87.39,Dominance,Kreator Konten (Content Creator)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Realistic,Motorik/Praktikal,83.27,Compliance,Teknisi Otomotif / Mekanik
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Realistic,Motorik/Praktikal,84.34,Dominance,Teknisi Jaringan & IT Support
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Conventional,Numerik/Logika,88.28,Steadiness,Administrator Sistem (Sysadmin)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Realistic,Spasial/Visual,76.28,Influence,Drafter (Juru Gambar Bangunan)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Conventional,Numerik/Logika,90.16,Steadiness,Estimator Biaya Bangunan
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Artistic,Motorik/Praktikal,74.67,Influence,Desainer Mebel (Furniture Designer)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Artistic,Motorik/Praktikal,71.57,Compliance,Pengrajin Kayu Kreatif
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Enterprising,Verbal,84.04,Influence,Wirausahawan (Entrepreneur)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Social,Numerik/Logika,90.10,Compliance,Staf Administrasi & Keuangan
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Social,Numerik/Logika,78.69,Steadiness,Guru / Pendidik Sekolah
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Conventional,Verbal,88.47,Compliance,Analis Data (Data Analyst)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Artistic,Verbal,86.60,Influence,Kreator Konten (Content Creator)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Realistic,Motorik/Praktikal,75.59,Compliance,Teknisi Otomotif / Mekanik
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Realistic,Motorik/Praktikal,82.56,Compliance,Teknisi Jaringan & IT Support
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Conventional,Verbal,92.97,Steadiness,Administrator Sistem (Sysadmin)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Realistic,Motorik/Praktikal,86.55,Dominance,Drafter (Juru Gambar Bangunan)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Investigative,Numerik/Logika,94.28,Compliance,Estimator Biaya Bangunan
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Realistic,Spasial/Visual,74.61,Dominance,Desainer Mebel (Furniture Designer)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Artistic,Spasial/Visual,75.42,Compliance,Pengrajin Kayu Kreatif
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Enterprising,Numerik/Logika,74.59,Dominance,Wirausahawan (Entrepreneur)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Social,Numerik/Logika,83.10,Compliance,Staf Administrasi & Keuangan
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Social,Numerik/Logika,85.95,Influence,Guru / Pendidik Sekolah
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Investigative,Verbal,93.67,Steadiness,Analis Data (Data Analyst)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Enterprising,Verbal,81.43,Dominance,Kreator Konten (Content Creator)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Realistic,Spasial/Visual,80.84,Compliance,Teknisi Otomotif / Mekanik
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Realistic,Spasial/Visual,80.77,Dominance,Teknisi Jaringan & IT Support
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Investigative,Verbal,83.15,Steadiness,Administrator Sistem (Sysadmin)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Realistic,Motorik/Praktikal,82.52,Dominance,Drafter (Juru Gambar Bangunan)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Conventional,Verbal,91.22,Compliance,Estimator Biaya Bangunan
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Realistic,Motorik/Praktikal,87.09,Influence,Desainer Mebel (Furniture Designer)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Realistic,Spasial/Visual,81.71,Steadiness,Pengrajin Kayu Kreatif
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Enterprising,Verbal,74.41,Dominance,Wirausahawan (Entrepreneur)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Social,Numerik/Logika,83.80,Steadiness,Staf Administrasi & Keuangan
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Social,Numerik/Logika,81.99,Influence,Guru / Pendidik Sekolah
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Investigative,Numerik/Logika,95.12,Compliance,Analis Data (Data Analyst)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Artistic,Spasial/Visual,72.85,Dominance,Kreator Konten (Content Creator)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Realistic,Motorik/Praktikal,72.13,Compliance,Teknisi Otomotif / Mekanik
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Conventional,Spasial/Visual,81.80,Dominance,Teknisi Jaringan & IT Support
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Conventional,Verbal,91.15,Compliance,Administrator Sistem (Sysadmin)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Realistic,Motorik/Praktikal,87.78,Dominance,Drafter (Juru Gambar Bangunan)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Investigative,Verbal,85.84,Compliance,Estimator Biaya Bangunan
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Artistic,Motorik/Praktikal,78.35,Influence,Desainer Mebel (Furniture Designer)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Artistic,Motorik/Praktikal,70.56,Steadiness,Pengrajin Kayu Kreatif
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Artistic,Verbal,71.16,Dominance,Wirausahawan (Entrepreneur)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Social,Verbal,83.82,Steadiness,Staf Administrasi & Keuangan
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Social,Numerik/Logika,89.57,Influence,Guru / Pendidik Sekolah
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Investigative,Verbal,85.08,Steadiness,Analis Data (Data Analyst)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Enterprising,Verbal,86.51,Dominance,Kreator Konten (Content Creator)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Conventional,Motorik/Praktikal,73.51,Compliance,Teknisi Otomotif / Mekanik
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Conventional,Spasial/Visual,78.22,Compliance,Teknisi Jaringan & IT Support
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Conventional,Numerik/Logika,93.79,Steadiness,Administrator Sistem (Sysadmin)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Artistic,Motorik/Praktikal,76.43,Influence,Drafter (Juru Gambar Bangunan)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Investigative,Numerik/Logika,84.54,Steadiness,Estimator Biaya Bangunan
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Realistic,Motorik/Praktikal,77.39,Dominance,Desainer Mebel (Furniture Designer)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Artistic,Spasial/Visual,72.73,Compliance,Pengrajin Kayu Kreatif
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Artistic,Numerik/Logika,78.47,Dominance,Wirausahawan (Entrepreneur)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Conventional,Verbal,87.10,Compliance,Staf Administrasi & Keuangan
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Social,Verbal,78.99,Steadiness,Guru / Pendidik Sekolah
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Investigative,Numerik/Logika,86.64,Compliance,Analis Data (Data Analyst)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Artistic,Spasial/Visual,83.89,Dominance,Kreator Konten (Content Creator)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Conventional,Motorik/Praktikal,82.44,Dominance,Teknisi Otomotif / Mekanik
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Realistic,Spasial/Visual,81.26,Compliance,Teknisi Jaringan & IT Support
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Conventional,Verbal,94.12,Steadiness,Administrator Sistem (Sysadmin)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Artistic,Spasial/Visual,76.73,Influence,Drafter (Juru Gambar Bangunan)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Investigative,Numerik/Logika,86.86,Compliance,Estimator Biaya Bangunan
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Realistic,Motorik/Praktikal,82.10,Influence,Desainer Mebel (Furniture Designer)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Artistic,Motorik/Praktikal,81.98,Compliance,Pengrajin Kayu Kreatif
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Enterprising,Numerik/Logika,81.44,Influence,Wirausahawan (Entrepreneur)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Social,Numerik/Logika,80.47,Steadiness,Staf Administrasi & Keuangan
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Enterprising,Numerik/Logika,82.53,Influence,Guru / Pendidik Sekolah
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Conventional,Verbal,95.80,Compliance,Analis Data (Data Analyst)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Artistic,Verbal,76.15,Dominance,Kreator Konten (Content Creator)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Conventional,Spasial/Visual,70.46,Compliance,Teknisi Otomotif / Mekanik
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Conventional,Motorik/Praktikal,75.39,Dominance,Teknisi Jaringan & IT Support
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Conventional,Verbal,93.20,Steadiness,Administrator Sistem (Sysadmin)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Realistic,Spasial/Visual,76.46,Influence,Drafter (Juru Gambar Bangunan)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Investigative,Verbal,91.67,Compliance,Estimator Biaya Bangunan
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Realistic,Motorik/Praktikal,75.49,Influence,Desainer Mebel (Furniture Designer)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Realistic,Spasial/Visual,73.21,Steadiness,Pengrajin Kayu Kreatif
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Artistic,Numerik/Logika,77.66,Influence,Wirausahawan (Entrepreneur)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Social,Verbal,81.79,Steadiness,Staf Administrasi & Keuangan
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Enterprising,Verbal,86.82,Steadiness,Guru / Pendidik Sekolah
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Conventional,Numerik/Logika,87.49,Compliance,Analis Data (Data Analyst)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Enterprising,Verbal,88.67,Dominance,Kreator Konten (Content Creator)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Realistic,Spasial/Visual,75.77,Dominance,Teknisi Otomotif / Mekanik
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Conventional,Motorik/Praktikal,76.39,Compliance,Teknisi Jaringan & IT Support
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Investigative,Verbal,89.57,Compliance,Administrator Sistem (Sysadmin)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Realistic,Spasial/Visual,84.76,Influence,Drafter (Juru Gambar Bangunan)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Investigative,Verbal,86.77,Steadiness,Estimator Biaya Bangunan
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Artistic,Motorik/Praktikal,75.83,Dominance,Desainer Mebel (Furniture Designer)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Realistic,Spasial/Visual,69.26,Compliance,Pengrajin Kayu Kreatif
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Enterprising,Verbal,84.60,Dominance,Wirausahawan (Entrepreneur)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Social,Numerik/Logika,79.66,Compliance,Staf Administrasi & Keuangan
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Enterprising,Verbal,82.76,Influence,Guru / Pendidik Sekolah
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Conventional,Verbal,88.97,Steadiness,Analis Data (Data Analyst)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Artistic,Spasial/Visual,82.63,Influence,Kreator Konten (Content Creator)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Conventional,Motorik/Praktikal,73.84,Dominance,Teknisi Otomotif / Mekanik
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Realistic,Motorik/Praktikal,78.54,Compliance,Teknisi Jaringan & IT Support
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Conventional,Verbal,83.47,Compliance,Administrator Sistem (Sysadmin)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Realistic,Motorik/Praktikal,86.69,Influence,Drafter (Juru Gambar Bangunan)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Investigative,Numerik/Logika,83.61,Steadiness,Estimator Biaya Bangunan
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Artistic,Spasial/Visual,87.23,Dominance,Desainer Mebel (Furniture Designer)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Realistic,Motorik/Praktikal,81.47,Steadiness,Pengrajin Kayu Kreatif
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Artistic,Numerik/Logika,78.44,Dominance,Wirausahawan (Entrepreneur)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Social,Verbal,85.01,Steadiness,Staf Administrasi & Keuangan
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Enterprising,Numerik/Logika,84.97,Steadiness,Guru / Pendidik Sekolah
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Conventional,Verbal,85.34,Steadiness,Analis Data (Data Analyst)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Artistic,Spasial/Visual,81.80,Dominance,Kreator Konten (Content Creator)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Realistic,Spasial/Visual,84.66,Compliance,Teknisi Otomotif / Mekanik
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Realistic,Spasial/Visual,87.50,Dominance,Teknisi Jaringan & IT Support
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Conventional,Verbal,85.00,Steadiness,Administrator Sistem (Sysadmin)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Artistic,Spasial/Visual,82.00,Dominance,Drafter (Juru Gambar Bangunan)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Investigative,Verbal,93.39,Steadiness,Estimator Biaya Bangunan
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Artistic,Motorik/Praktikal,79.03,Influence,Desainer Mebel (Furniture Designer)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Artistic,Motorik/Praktikal,82.70,Compliance,Pengrajin Kayu Kreatif
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Enterprising,Numerik/Logika,70.98,Influence,Wirausahawan (Entrepreneur)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Social,Verbal,88.64,Steadiness,Staf Administrasi & Keuangan
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Social,Numerik/Logika,89.92,Steadiness,Guru / Pendidik Sekolah
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Conventional,Verbal,85.38,Compliance,Analis Data (Data Analyst)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Artistic,Spasial/Visual,81.36,Dominance,Kreator Konten (Content Creator)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Conventional,Motorik/Praktikal,85.88,Dominance,Teknisi Otomotif / Mekanik
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Realistic,Spasial/Visual,82.36,Compliance,Teknisi Jaringan & IT Support
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Investigative,Verbal,87.63,Steadiness,Administrator Sistem (Sysadmin)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Realistic,Motorik/Praktikal,91.66,Dominance,Drafter (Juru Gambar Bangunan)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Conventional,Verbal,87.37,Compliance,Estimator Biaya Bangunan
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Artistic,Spasial/Visual,86.36,Dominance,Desainer Mebel (Furniture Designer)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Artistic,Spasial/Visual,81.95,Compliance,Pengrajin Kayu Kreatif
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Artistic,Numerik/Logika,85.57,Influence,Wirausahawan (Entrepreneur)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Social,Verbal,82.65,Steadiness,Staf Administrasi & Keuangan
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Enterprising,Numerik/Logika,89.04,Influence,Guru / Pendidik Sekolah
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Investigative,Verbal,96.13,Compliance,Analis Data (Data Analyst)
